50 5
11 78 721
12 173 30
13 114 918
14 97 784
15 215 50
16 261 70
17 123 794
18 340 998
19 18 877
20 372 354
21 208 562
22 224 854
23 36 804
24 197 71
25 490 796
26 85

36 9 31
1 96 396
2 37 593
3 290 937
4 149 954
5 17 681
6 437 630
7 184 195
8 243 486
9 114 914
10 191 236
11 153 477
12 334 391
13 216 574
14 216 527
15 96 440
16 426 859
17 65 502
18 440 852
19 385 305
20 100 503
21 200 685
22 113 54
23 464 580
24 143 171
25 47 742
26 192 53
27 134 370
28 385 254
29 123 585
30 85 574
31 130

37 98 21
1 140 615
2 286 47
3 284 874
4 345 842
5 492 634
6 406 492
7 450 495
8 409 162
9 57 44
10 301 342
11 362 915
12 311 371
13 220 243
14 110 466
15 479 641
16 125 534
17 285 88
18 195 785
19 170 222
20 84 690
21 81

38 22 17
1 241 492
2 302 648
3 373 457
4 393 141
5 142 871
6 379 958
7 441 655
8 342 829
9 55 107
10 299 732
11 394 152
12 25 30
13 428 739
14 466 897
15 385 954
16 137 137
17 340

39 219 20
1 474 188
2 22 406
3 72 939
4 186 946
5 416 386
6 344 233
7 151 994
8 463 76
9 385 206
10 171 801
11 466 218
12 292 950
13 68 887
14 392 244
15 498 795
16 159 828
17 248 754
18 241 367
19 478 89
20 282

40 44 6
1 342 950
2 89 399
3 352 257
4 279 732
5 382 405
6 255

41 6 27
1 463 615
2 78 236
3 295 769
4 120 250
5 98 202
6 148 638
7 129 899
8 57 538
9 405 45
10 152 361
11 140 887
12 427 414
13 454 538
14 436 275
15 448 238
16 368 355
17 449 841
18 328 437
19 211 167
20 125 422
21 199 667
22 429 588
23 158 183
24 243 556
25 113 259
26 389 594
27 355

42 45 36
1 175 904
2 206 949
3 239 523
4 101 944
5 484 911
6 297 289
7 393 949
8 363 518
9 177 897
10 223 510
11 435 530
12 339 349
13 37 33
14 389 563
15 447 537
16 40 289
17 83 468
18 474 448
19 379 680
20 350 65
21 179 968
22 229 214
23 489 825
24 158 484
25 294 771
26 424 71
27 446 55
28 155 553
29 77 402
30 379 165
31 339 980
32 195 820
33 353 943
34 342 72
35 230 405
36 267

43 249 35
1 48 554
2 276 936
3 269 716
4 89 494
5 381 83
6 368 958
7 16 950
8 310 902
9 17 699
10 335 658
11 286 636
12 477 208
13 200 226
14 471 476
15 198 679
16 51 310
17 323 58
18 311 308
19 366 956
20 131 423
21 123 425
22 35 371
23 427 904
24 291 596
25 194 747
26 69 66
27 193 822
28 170 553
29 12 378
30 274 588
31 40 290
32 477 897
33 392 790
34 454 937
35 312















