50 5
3 424 234
4 252 700
5 385 782
6 38

31 3 8
1 373 508
2 173 983
3 235 925
4 453 490
5 29 305
6 196 105
7 212 963
8 485

32 68 4
1 6 999
2 370 112
3 303 948
4 397

33 51 23
1 440 623
2 233 221
3 297 724
4 195 74
5 355 975
6 119 988
7 31 528
8 384 682
9 430 158
10 380 211
11 73 959
12 403 905
13 53 891
14 168 375
15 486 679
16 356 886
17 208 173
18 86 76
19 446 783
20 462 746
21 134 375
22 151 52
23 396

34 0 20
1 380 185
2 382 47
3 495 572
4 278 467
5 70 336
6 401 415
7 417 966
8 346 67
9 123 226
10 128 234
11 336 281
12 224 191
13 171 676
14 71 996
15 204 332
16 205 393
17 488 717
18 30 386
19 260 152
20 274

35 8 17
1 473 659
2 329 976
3 465 257
4 484 325
5 418 801
6 195 149
7 40 908
8 429 338
9 474 904
10 296 736
11 241 943
12 225 975
13 108 372
14 291 741
15 120 106
16 31 809
17 441

36 7 8
1 5 716
2 60 67
3 211 402
4 188 481
5 214 712
6 215 950
7 478 392
8 194

37 19 6
1 132 132
2 475 81
3 455 543
4 117 698
5 141 941
6 41

38 73 21
1 115 541
2 296 798
3 492 712
4 469 372
5 333 444
6 5 935
7 414 469
8 402 236
9 45 467
10 345 902
11 156 578
12 316 165
13 457 204
14 433 788
15 348 462
16 481 464
17 236 194
18 390 192
19 309 701
20 106 88
21 384

39 117 5
1 243 465
2 188 110
3 457 283
4 425 299
5 387

40 53 6
1 399 436
2 28 527
3 394 485
4 379 487
5 143 46
6 228

41 57 9
1 76 259
2 33 468
3 52 780
4 372 323
5 271 342
6 331 706
7 97 816
8 25 55
9 368

42 68 9
1 131 665
2 236 406
3 472 952
4 381 224
5 235 454
6 187 403
7 435 416
8 156 238
9 109

43 107 10
1 445 315
2 82 106
3 61 292
4 253 809
5 229 272
6 248 167
7 191 300
8 55 493
9 405 342
10 19

44 100 4
1 133 177
2 313 885
3 429 544
4 221

45 23 13
1 334 223
2 466 954
3 158 209
4 201 585
5 446 927
6 202 487
7 387 263
8 352 897
9 122 789
10 309 780
11 106 584
12 141 193
13 201

46 16 16
1 15 500
2 218 389
3 354 895
4 424 374
5 169 818
6 405 349
7 101 292
8 144 191
9 396 351
10 108 252
11 99 949
12 437 728
13 95 230
14 80 862
15 59 961
16 407

47 9 1
1 103

48 78 9
1 37 296
2 12 641
3 455 879
4 278 486
5 11 885
6 301 946
7 93 504
8 165 704
9 421

49 0 7
1 374 74
2 321 833
3 108 960
4 318 693
5 80 424
6 19 613
7 328

50 116 13
1 88 809
2 418 871
3 362 435
4 441 839
5 330 195
6 468 537
7 149 978
8 391 816
9 214 295
10 290 154
11 270 353
12 173 886
13 194

